Question,Hint
学校での読書は漫画でも良いかどうか。,
「怒り」の感情を可視化するとしたら、何色にしますか,visualize
大学は少子化にどう対応するべきか？,declining birthrate/low birthrate
社内コミュニケーションを活性化させるための施策を考えてください,activate
延命措置は必要であるか,"life-support measure, let nature run it course"
面白いアニメは「シンデレラ」か「白雪姫」か？,
日本はTPPに参加すべきかどうか？,
授業中にその授業と関係のない学習をしても良いかどうか。,
ロボットは今後普及していくか？,
学校における食べ物の栽培の教育は行われるべきか,cultivate
不老不死は幸せがどうか。,
1000万円でお風呂をリフォームor1000万円で寝室をリフォーム,
保育士（介護士）の給料は上げるべきかどうか。,"childcare worker, caregiver"
「見た目は子供，頭脳は大人」と「頭脳は子供，見た目は大人」，なるならどちらが良いか。,
貰ってうれしいのは花束とお菓子のどちらか？,"bouquet, sweets"
飛び級制度を導入すべきか,grade skipping system
コロナがこの世からなくなる世界に戻れるor今後、生きてるうちは絶対に天災が起きない,
父親も育児休暇を取得するべきか？,childcare leave
登校・下校中のお店への立ち寄りは禁止すべきかどうか。,stop by
一生観れないとしたら？ディズニー作品orジブリ作品,
無人島に持っていくなら「ナイフ」か「ライター」か？,uninhabited island/desert island
イケメンで貧乏or 不細工でもお金持ち,
一生小麦粉が食べられないor一生すべての肉が食べられない,
割り箸を使うことと，マイ箸をつかうのとではどちらが良いのか。,disposable chopsticks
教科書やノートは，学校に置いて帰っても良いかどうか。,
春夏秋冬…一年ごとに変わるor１週間ごとに変わる,
公務員になれるor東大生になれる,civil servant
子供を塾に通わせるべきか否か？,
耳が聞こえないけど喋れるor耳が聞こえるけど喋れない,deaf
体を動かすならジムに行くorスポーツクラブにはいる,
1000万円あったら何に使いますか？,
告白するならメールや電話で伝えるか，直接会って伝えるか。,profess
出産したら国から１００万円給付。ありかなしか。,give birth (to ~)
仕事で使うなら「ノートパソコン」か「タブレット」か？,
子供に見せるならディズニー作品が良いか，ジブリ作品が良いか。,
小学生にランドセルは必要か？,school backpack(?)
「動画」か「画像」これから流行るのは？,
桃太郎の家来の3人は幸せだったのかどうか。,
板書の撮影はアリか,
小学生にとって重要なのは「理科」か「社会」か？,"science, social studies"
友達が目の前でポイ捨てをしていたら注意するかしないか。,litter
自社のECサイトの認知が低いことへの対策方法を考えてください,awareness/recognition
自社が20年後に倒産するとしたらその要因は？,
家でのゲーム使用時間を法律や条例で決めて良いかどうか。,
勉強と部活，どちらが大切か。,
心が読める能力か未来が見える能力のどちらが欲しいか,
好きではない人からのプレゼント，受け取るか受け取らないか。,
同じストーリーなら，映画と本ではどちらが良いか。,
厳しい上司と優しい上司どちらに付きたいか？,"strict, demanding"
高校生活に制服は必要か？,
小さい頃から習い事をさせるべきかどうか。,
教師は生徒に出す宿題を少なくするべきか,
自営業と会社員はどちらのほうが安定しているか？,"self employed, (company) employee"
講義中の内職は認められるか,
テレビがない家or洗濯機がない家,
勉強中は音楽を聞くのと無音どちらが集中できるか,
国会議員の数は増やすべきか，減らすべきか。,a member of the Diet
教室では小さな生き物（植物以外）を飼育するべきかどうか。,breed/raise
大企業と中小企業、どちらで働くのが良いか？,
愛とは何かを教えてください,
一緒に住むなら犬と猫のどちらが良いか,
企業で大事なのは「売上」か「商品価値」か？,"sales, commercial value"
現代の若者は外国に対する関心があると思うか？,
良い社会人とは？,(working) member of society/adult
人生に大切なものは，お金か時間か。,
国民の医療費を全て無料にしても良いかどうか。,"citizens, medical expenses"
なぜ英語を勉強する必要があるのか？,
コンビニエンスストアで他社と差別化してコーヒーの売上を伸ばすには？,"differentiate, boost sales"
再定義する必要のある言葉を発見し、その理由を提案してください,
教室でのインターネットの使用に賛成か？,
選択的夫婚別姓を導入すべきか,marriage with separate surnames
日本の自動車の制限速度，上げるべきか，下げるべきか。,speed limit
テレビとYouTubeはどちらが有益か？,beneficial
自社の商品の再購入率が低いことを改善してください,repurchase rate
10年後に流行っているものは？,
目玉焼きはソース派or醤油派,fried egg
子供には携帯電話を持たせるべきか,
好きなものは最初に食べるor最後に食べる,
やられたらやり返すはありかなしか。（復讐はするべきかどうか）,
美容関係の広告は規制すべきか,regulate
一生デザートが食べれないorお米が食べれない,
大統領制を導入すべきか,presidential system
演技の才能が天才的or脚本の才能が天才的,
副業は許可されるべきか？,side job
ペットの販売を禁止すべきかどうか。,
好きな人（芸能人）と一日デートor１ヶ月間１０分だけ電話ができる,
電気自動車はこれから普及していくか？,
学校にピアスを付けて登校しても良いかどうか。,earings
若者の物欲を高める施策を考えてください,"youth, material desire"
子供にスマホをもたせるべきか否か？,
ウソをつくことは良いのか悪いのか。,
選挙に行かない人には罰則をつけるべきかどうか。,
良い会社とは？,
家から一歩も出られないけど欲しいものは何でも手に入るor外には出ていいけど家がない,
瞬間移動と念力のどちらが有用か,"teleportation, psychokinesis"
生きることと死ぬことはどちらが大変か？,
大学へ行くべきかどうか？,
一日１０時間労働を８ヶ月残りは休みor　一日８時間労働１２ヶ月勤務。,
履歴書は手書きで書くべきか，パソコンで打って印刷するべきか。,resume
マスクをしないと罰金。賛成か反対か。,
新卒の一斉採用は今後も続けるべきか,"periodic recruiting of new graduates, ongoing recruitment"
朝ごはんは食べた方がいいのか,
兄姉と弟妹どちらが幸せか。,
映画は映画館で見るかDVDで見るか？,
「幸せな家庭」か「一生困らないお金」どちらを取るか？,
SNSで拡散されやすいコンテンツとは？,
学校にスマートフォンを持ってきて良いかどうか？,
100㎏に太るor140㎝になるか,
学校に売店（購買）を設置すべきかどうか。,
1ヶ月…自分の行動がネットで世界配信されているor世界中の人から無視される,
勉強には朝と夜のどちらが向いてるか,
ベーシックインカムとして毎月全員に10万円が支払われる世界はどんな世界になるか？,
大食いと小食どちらが幸せか。,
休みの日は家で過ごしたいか，外に出かけに行きたいか。,
TVとYouTubeどちらを見るか？,
通年採用は必要か？,
物語のストーリーを事前に話されること（ネタバレ）は許せるか，許せないか。,
火星探査での必需品は？,"Mars exploration, necessities"
CM以外を使った広告手段を考えてください,
超能力は本当に存在するのか？,supernatural power
体育の時間は運動着に着替えるべきかどうか。,
じゃんけんで最も出すべきなのは「グー・チョキ・パー」のうちどれか,Rock-Paper-Scissors
６月は春と言えるのか，それとも夏と言えるのか。,
ブラック企業をなくすための施策を考えてください,"exploitative company, evil company, sweatshop, measures/plan/solves"
行くならどっち？高級レストランだけど料理が出てくるのが1時間後or美味しい居酒屋だけど横の席で大学生20人がどんちゃん騒ぎ,
落ちているゴミを拾うか,
恋人ができたら，異性の連絡先は消すか，消さないか。,
住むなら？キッチンが共用のマンションorトイレが共用のマンション,condominium
好きな人にしてもらってうれしいのは，花束のプレゼントとレストランでの食事なら，どちらがうれしいか。,
朝食べるなら「和食」か「洋食」か？,
宿題は必要なのか,
過去と未来，行くならどちらか。,
公共交通機関では携帯電話の使用は禁止するべきか？,forbid/prohibit
映画を見るなら，原作を読んでから見るか，読まずに見るか。,
住むなら都会か地方か？,"urban, rural, (suburb)"
国会議員の給料，上げるべきか下げるべきか。,a member of the Diet
グローバル展開できていない問題を解決してください,operating globally/expand one's business overseas
旅行に行くとき，予定をびっしり立てるか，ざっくり立てるか。,
朝ごはんに良いのはパンか，ご飯か。,
友人と一緒に暮らすと、友人関係はだめになるか？,
友達と彼氏（彼女）はどちらが大切か？,
世界中の人が敵だったとしても自分だけは味方になるかならないか。,
人間はその人の心と見た目、どちらで判断すべきなのか？,
プロポーズするなら（されるなら），ロマンチックな場所と，家ではどちらが良いか。,
行くべきなのは「ディズニーランド」か「USJ」か？,
新商品をこの会社で出すならどんな商品を出しますか？,
二世代同居はメリットがあるか？,
死後の世界とはどんな世界か？,"afterworld, afterlife"
税金や年金の制度についての詳しい授業を義務教育で行うべきかどうか。,"pension, mandatory education"
不老不死の薬があるとしたら使いたいか，使いたくないか。,elixir of (eternal) life
消費税は減税/増税すべきか,"consumption tax, increase, reduce"
若者から自社商品の認知を上げるためには？,"in-house products, awareness/recognition"
パラパラの雨（雪）のとき，傘をさすか，ささないか。,
子供には幼少期から習い事をさせるべきか？,
リモートと出社どちらがしたいか？,"remote work (work remotely), work from home, work in the office"
過労自殺をゼロにするためにはどうすればよいか？,
持家と賃貸はどちらを選ぶべきか？,owned/rental house
義理チョコにお返しは必要か？,"obligatory chocolates, return gift"
デートに行くなら遊園地と映画館どちらか？,
芸能人との結婚をしたいか，したくないか。,
定年後に働き続ける人は増えるか,
40代をターゲットにしたネットコンテンツを提案してください,
休日に行くなら国内旅行と海外旅行のどちらが良いか," trips around Japan, trips abroad"
テレビでは，暴力的なシーンを映らないようにすべきかどうか。,
友人が握ったおにぎり，食べられるか食べられないか。,rice ball
在宅勤務はもっと実施されていくべきか,work from home
飲み食いしなくても生きられる体とトイレに行かなくても良い体，どちらが良いか。,
幼い子供にSNSの使用を認めるべきか,
趣味は大事にすべきか？,enjoy doing
「１ケ月連続で働いて１ケ月休みの仕事」と「１日働いて１日休みの仕事」のどちらが良いか。,
本とインターネット，情報を得るのに適しているのはどちらか。,
日本でも留年の制度を取り入れたほうが良いかどうか。,repeat a year
サッカーのポジションで偉いのは攻撃か，守備か。,
スキーとスノーボード，やるならどちらか。,
子供は自分の部屋を持つべきか？,
自社の有給取得率を高めるためにはどうすれば良いでしょうか？,paid leave
幽霊は存在するのか,
エコバッグはエコと言えるか，言えないか。,reusable bag
「晴れ」と「雨」どちらの方が良い天気か,
小学生に塾は必要か？,a private-tutoring school
大学生は大人か,
未来にいけるとしたら未来で何をする？,
学校の時間割は国算理社英だけで毎日５時間授業で良いかどうか。,
毎日が休日だった場合どんな過ごし方をしますか？,
企業にとって大切なのはお金か人か？,
コンビニは24時間営業すべきかどうか？,
1万円以上のものしか口にできないor1万円以下のものしか口にできない(食費は無限),
同性の双子の兄弟or10歳上に異性の兄弟,
男と女ではどちらが幸せか。,
「ボロボロだけど都会の場所」と「理想の家だけど田舎の場所」，住むならどちらか。,
家の前にサイゼリアor家の前にコンビニ,
実家を出たらルームメイトと暮らすべきか？１人で暮らすべきか？,parent's home
すべての車を電気自動車に変えるべきかどうか。,
洋画を見るなら字幕版か吹替版か,"western movies, subtitled, dubbed"
「早朝」と「深夜」どちらの方が効率的に仕事ができるのか,
4年生大学を卒業することは必要か？,
宇宙旅行に行きたいかどうか。,
連絡網は必要かどうか？,contact network
AIに代替されないためにはどんな能力を付けるべきか？,
スポーツをするなら，団体競技と個人競技のどちらが良いか。,
差別がなくなることはあるのか,
企業はもっと中年の応募者を採用すべきか？,
ニートやフリーターはなぜ増えているのか？,
日本は銃の製造・輸入を許可するべきかどうか。,
兄弟の中で1番目、真ん中、末っ子　選べるならどれにするか？,
日本に，大統領の制度を導入すべきかどうか。,
選挙権は20歳に戻すべきか,
パセリの消費を促す新しいビジネスを考えてください,"parsley, consumption"
過去に戻れるなら小学生or中学生,
レジャーで行くなら山と海のどちらか,recreation
日本の芸道は若者に浸透しているか,accomplishments
ドラえもんの新しい秘密道具を考えてください,
自分以外全員…同性or異性,
教育は大都会の方が有利か？,
会社の存在価値とは何か？,existence value
中高生は部活に入るべきなのか,"middle and high-school students, extracurricular activities"
もしこの会社の社長ならまずは何をしますか？,
本を読むなら紙の本か，電子書籍のどちらが良いか。,
制服やスーツは廃止すべきか,
車は走った分だけ税金を取る仕組みを導入して良いかどうか。,mileage/travelled distance
ペットショップの動物は幸せかどうか。,
何ヶ国語も喋れるor日本語しか喋れないけどひろゆきくらい達者,
告白を「あなたにはもっと良い人がいる」という理由で断る。有りか無しか。,profess
自社のインフラを活用して新規事業を立ち上げてください,
友達が悪いことをして怒られて泣いているとき，そっとしておくか，「大丈夫？」などと声をかけるか。,"scold, comfort"
学校の給食費は無料にすべきかどうか。,
10年間携帯電話を持てないor10年間住む家がない,
透明人間になりたいか，なりなくないか。,
どんな能力でも身につけられるとしたらどんな能力を身につけるか？,
お金持ちは幸せかどうか。,
人の悪口を言ったら，則逮捕。賛成か反対か。,bad-mouth ~
幸せの定義とは何か？,
動物園の動物と野生の動物では，どちらが幸せか。,
すべての若者は料理の仕方を学ぶべきか,
サンタクロースはいると思うか，いないと思うか。,
親は敬うべきか？,
晴れた日は外で遊ぶべきかどうか。,
お風呂に入ったら頭から洗うか体から洗うか,
海とプール，遊ぶならどちらが良いか。,
社員の満足度を上げるための施策を考えてください,
小学校英語教育は効果があるかどうか？,
朝型or夜型　メリットが大きいのは？,
電車での混雑時に料金を高くする仕組みを導入すべきかどうか。,
5分先の未来が読めるor5分前になら何度でも戻れる,
「経済的成長」と「文化的成長」どちらを優先するべきか,"economic growth, cultural growth"
国語と英語，将来役に立つのはどちらか。,
10年後の日本はどうなっている？,
マナーは本当に必要なのか,
週休3日制を導入すべきか,4-day workweek (system)
葬式は厳粛に行われるべきか,"funeral, serious"
夜しか生きられないor昼しか生きられない。,
スーパーの売上を1.5倍に伸ばすための案を考えてください,
タバコは人体に有害である？,
友情と恋愛どちらが大切か,
授業中の調べ物にスマートフォンを使うのは良いかどうか。,
視力矯正は眼鏡かコンタクトか,vision correction
タマゴが先か，ニワトリが先か。,"Which came first, the chicken or the egg?"
学校でお金の管理の仕方をもっと教えるべきか？,
子供と大人，どちらが幸せか。,
国語算数理科社会英語より，音楽図工体育家庭科の時間を多くするべきかどうか。,
自社の商品の使いにくさを解決する手段を考えてください,
学校では，ウサギやニワトリなどの生き物を飼育すべきかどうか。,living things
未成年の犯罪，実名報道するべきかどうか。,minor/underage
義務教育中は学校でかかる全ての費用を無料にすべきかどうか。,mandatory education
陪審員制度を導入すべきか,jury system
レストランや映画館などにおいて高齢者は優遇されるべきか,favorable treatment
一生病気にならないor一生寝なくていい,
社会人になったら経済活動に貢献するべきか,"(working) member of society/adult, economic activity"
日本での成人年齢は「18歳」と「20歳」どちらが最適か,the age of majority/the legal adult age
英語の学習時間を増やすべきかどうか。,
朝ごはんはパンか米かどちらがいいか？,
スマートフォンとデジタル一眼カメラ、写真を撮るならどっち？,
共働き家庭はなぜ増えているのか？,dual income family
外国人へのオススメは桜か紅葉か,Japanese maple
全ての都道府県を県に統一するべきかどうか。,
髪の毛の長さの指定はあった方が良いか，ない方が良いか。,
日本は安楽死を認めるべきかどうか,euthanasia
残業はあるべきかどうか？,overtime/extra hours
夏休みなしで毎日４時間授業が良いか，今のままが良いか。,
野球部は全員坊主頭にするべきかどうか。,shaved head
夏（冬）に旅行に行くなら沖縄か，北海道か。,
長くするなら夏休みか，冬休みのどちらか。,
1月1日が誕生日orクリスマスが誕生日,
生まれ変わるなら人間が良いか,
妊娠・出産にかかる費用は無料にすべきかどうか。,get pregnant
日本は自転車シェアリングを推進するべきかどうか,cycle sharing
大学生まで学費を無料にすべきかどうか。,tuition/school fee
電子書籍は紙の本より普及していくか,
テレビCMかYouTube広告どちらが有効か？,
宇宙人が地球にやってきたとき，攻撃すべきかどうか。,
住むなら？赤道直下国or極寒の国,
政府の失業者支援は強化されるべきか,"unemployed, strengthen"
テレビは必要か，不要か。,
スポーツ万能な体と，学力優秀な頭，手に入れるならどちらか。,
どんだけ食べても太らないorどんだけ食べても食費はタダ,
携帯電話代を国から補助することに，賛成か反対か。,
有名人になりたいか，なりたくないか。,
旅行に行くなら海が良いか，山が良いか。,
一生パスタが食べれないor一生うどんが食べれない,
ゴミ袋は有料（指定）にすべきかどうか。,trash bag/garbage bag
５年間坊主になるのと5年間年金髪になるのではどちらが良いか。,shaved head
病院に行くためにスピード違反するのは許せるか，許せないか。,speeding/break the speed limit
テストはある方が良いか，無い方が良いか。,
オンラインコースと従来の学校はどちらが有益か？,
浦島太郎は箱の中身を開けたほう幸せなのか，開けないほう幸せなのか。,
たばこ税を値上げするべきか,cigarette tax
ものが透けて見えるor人の心の中聞こえる,
月に移住できるとしたら，移住してみたいかどうか。,
階段10階建だけど理想のお部屋or理想の立地だけどワンルーム,
家に固定電話は必要か，不要か。,fixed (line) phone
広くて薄い人間（友達）関係と，狭くて濃い人間（友達）関係ではどちらが幸せか。,superficial/shallow
飲食店の深夜での営業を禁止すべきかどうか。, staying open until late at night/late night service
人生で大事なのは愛かお金、どちらなのか,
会社の中では，日本語禁止で英語のみにする。賛成か，反対か。,
お化けはいると思うか，いないと思うか。,
企業にとって大切なのは利益かお客様か？,
日本企業における女性の待遇は進んでいるか？,improve one's working condition
よい教師は子供の生活に大きな影響を与えるか,
遠くにいる友達の誕生日にお祝いの気持ちを伝える時は，手紙がよいか，電話が良いか。,
高級車がもらえるが一生それに乗らないといけないor軽自動車なら何台でも乗り換え自由,"luxury car, Kei car"
宝くじで10億円当たったら，仕事を辞めるかどうか。,lottery
一年中夏or一年中冬,
今の記憶で中学からやり直せるor何でもなりたい職業に就ける,occupation/work/job
地球外生命体は存在するのか,extraterrestrial
資本主義か社会主義どちらの国が幸せか？,"capitalism, socialism"
ゴキブリが100匹orヘビ(毒なし)が100匹の部屋入るなら？,
この世のすべての人類が自分と同性が良いか，異性が良いか。,
「見た目が好みで服のセンスが好みじゃない人」と「服のセンスが好みで見た目が好みじゃない人」ならどちらを恋人にしたいか。,
現金は今後、クレジットカードや携帯端末でのタッチ決済（キャッシュレス）に置き換わっていくか？,
死刑制度は撤廃すべきか,"death penalty/capital punishment, abolish"
運動会の種目は男女別にした方が良いかどうか。,"sports day, event"
日本は首相公選制を導入すべきかどうか？,direct election of the prime minister
折りたたみ式マイカップを日本国内で普及させるためには？,foldable
一生マヨネーズが使えないor醤油が使えない,
邪馬台国は九州に存在していた説は本当か？,theory
自転車には免許が必要か？,
理想の顔になれるorめちゃくちゃ頭良くなる,
レジ袋は無料にするべきか,"(plastic) bag, reusable bag"
高級車がもらえるが一生それに乗らないといけないor軽自動車なら何台でも乗り換え自由,
好きなアーティストのライブなら何度でもタダで行けるチケットor好きなアーティストが自分の為だけに歌ってくれる,
何ヶ国語も喋れるor日本語しか喋れないけどひろゆきくらい達者,
ライドシェアを推進するべきか,
AIの利用を禁止すべきか,
運動会での順位付けはやめるべきか,
SNSの利用を規制すべきか,
生きることと死ぬことはどちらが大変か,
タイムマシンは存在するか,
新卒一括採用は今後も続けるべきか,
あなたが採用担当なら能力を優先するか、人柄を優先するか,
最高のリーダーと最高のサブリーダー、チームにより必要なのはどちらか,
テレワークは廃止すべきか,
年功序列制度は廃止すべきか,
高校でのボランティア活動を義務化すべきか,"make it obligatory to, make ~ mandatory"
お金の授業と英語の授業、どちらが将来より役立つか,
リーダーシップについての授業は必要か,
高校1年生から選挙権を認めるべきか,
修学旅行は国内と海外のどちらがいいか,
高校での部活動は全面廃止すべきか,
高校の掃除は自分たちがやるべきか、清掃業者がやるべきか,
文化祭と体育祭、一つしかできないとしたらどちらがいいか,
オンライン授業と教室での授業、どちらがいいか,
友達が多いのとSNSのフォロワーが多いのはどちらがいいか,
LINEがあれば電話は不要か,
お年玉は貯金派か使い切る派か,New Year's gift
ペットを飼うなら犬と猫のどちらがいいか,
勉強するなら朝と夜のどちらがいいか,
大人と子どものどちらが幸せか,
優しさと強さはどちらが大切か,
孤独なお金持ちと貧乏な人気者、どちらになりたいか,
部活と塾、どちらが大切か,"a private-tutoring school, club activities"
タケコプターとどこでもドア、どちらがほしいか,
「きのこの山」と「たけのこの里」のどちらがおいしいか,
特別な日に食べるなら、すしと焼き肉のどちらか,Japanese barbecue
ラーメンといえばしょうゆか豚骨か,
飛行機の中で「Fish or chicken?」と聞かれたらどちらを選ぶか,
一生うどんが食べられないか、一生そばが食べられないか,
一生肉が食べられないか、一生デザートが食べられないか,
一生サンダルで過ごすか、一生ブーツで過ごすか,
一生タンクトップで過ごすか、一生セーターで過ごすか,
お金持ちになれるのとモテモテになるのとどちらがいいか,
不老不死になりたいか(周りの人の寿命はそのまま),
なれるなら俳優か歌手どちらがいいか,
手から花びらを出せる能力と、帽子からハトが出せる能力のどちらがほしいか,
今日のタスク,
今日やらないこと,
理想の仕事内容は？,
仕事を選ぶ時の基準,
今の仕事を選んだ理由,
仕事が楽しいと思うのはどんな時？,
